"Easting","Northing","ICS_max","Date"
232000,596500,0.0586580806903555,"1995-03-01"
232000,597000,0.059256160682906,"1995-03-01"
232000,597500,0.0598111662199283,"1995-03-01"
232000,598000,0.0604421663936634,"1995-03-01"
232000,598500,0.0607691752829126,"1995-03-01"
232000,599000,0.0605106663366644,"1995-03-01"
232000,599500,0.064280065525758,"1995-03-01"
232000,604000,0.0695142470700444,"1995-03-01"
232000,604500,0.0711213774147455,"1995-03-01"
232000,605000,0.0658969783454326,"1995-03-01"
232000,605500,0.0672228622112465,"1995-03-01"
232000,606000,0.0563034354325634,"1995-03-01"
232000,606500,0.0573943014294067,"1995-03-01"
232000,607000,0.0587316928063399,"1995-03-01"
232000,607500,0.0580657973712976,"1995-03-01"
232000,608000,0.053868674464167,"1995-03-01"
232000,608500,0.0431918356006393,"1995-03-01"
232000,609000,0.0347065964814795,"1995-03-01"
232000,609500,0.03443643060937,"1995-03-01"
232000,610000,0.0329845275864526,"1995-03-01"
232000,610500,0.0281252968177508,"1995-03-01"
232000,611000,0.0172644826276242,"1995-03-01"
232000,611500,0.00862111546444081,"1995-03-01"
232000,612000,0.00737874649201967,"1995-03-01"
232000,612500,0.00767732078845778,"1995-03-01"
232000,613000,0,"1995-03-01"
232000,613500,0,"1995-03-01"
232000,614000,0,"1995-03-01"
232000,614500,0,"1995-03-01"
232000,615000,0,"1995-03-01"
232000,615500,0,"1995-03-01"
232500,571000,0.0156930661000383,"1995-03-01"
232500,571500,0.0171668414895243,"1995-03-01"
232500,572000,0.0184025025086512,"1995-03-01"
232500,572500,0.0198629341777855,"1995-03-01"
232500,573000,0.0212041282491986,"1995-03-01"
232500,573500,0.0223516364361982,"1995-03-01"
232500,574000,0.0221019837045633,"1995-03-01"
232500,574500,0.021122854345224,"1995-03-01"
232500,575000,0.0185402859023074,"1995-03-01"
232500,575500,0.0175337299861862,"1995-03-01"
232500,576000,0.017152987388364,"1995-03-01"
232500,576500,0.0164797844775258,"1995-03-01"
232500,577000,0.0214379063571224,"1995-03-01"
232500,577500,0.0205928116824327,"1995-03-01"
232500,578000,0.0196831460722215,"1995-03-01"
232500,578500,0.0192113573877224,"1995-03-01"
232500,579000,0.0172711574412935,"1995-03-01"
232500,579500,0.0161864354880519,"1995-03-01"
232500,580000,0.0151432955587092,"1995-03-01"
232500,580500,0.0146223705510813,"1995-03-01"
232500,581000,0.0142308369878663,"1995-03-01"
232500,581500,0.0141070692827139,"1995-03-01"
232500,582000,0.0141275522386551,"1995-03-01"
232500,582500,0.0144430674968815,"1995-03-01"
232500,583000,0.0151299375701565,"1995-03-01"
232500,583500,0.0160873530611642,"1995-03-01"
232500,584000,0.0171110023738303,"1995-03-01"
232500,584500,0.0182478668299101,"1995-03-01"
232500,585000,0.0197018243669094,"1995-03-01"
232500,585500,0.0213690759536934,"1995-03-01"
232500,586000,0.0239393270984761,"1995-03-01"
232500,586500,0.0244235199942673,"1995-03-01"
232500,587000,0.0271484607353209,"1995-03-01"
232500,587500,0.0300482746775862,"1995-03-01"
232500,588000,0.0349009552936571,"1995-03-01"
232500,594000,0.0644051845541827,"1995-03-01"
232500,594500,0.0645053103814546,"1995-03-01"
232500,595000,0.0647822871868958,"1995-03-01"
232500,595500,0.0659402098271855,"1995-03-01"
232500,596000,0.0676939598200516,"1995-03-01"
232500,596500,0.0688059336372663,"1995-03-01"
232500,597000,0.0694825783611847,"1995-03-01"
232500,597500,0.0701696499910992,"1995-03-01"
232500,598000,0.0708505653435616,"1995-03-01"
232500,598500,0.071155974503789,"1995-03-01"
232500,599000,0,"1995-03-01"
232500,603500,0.0772196467516922,"1995-03-01"
232500,604000,0.075674848281955,"1995-03-01"
232500,604500,0.0770111101011882,"1995-03-01"
232500,605000,0.0783665650395437,"1995-03-01"
232500,605500,0.0727832188223722,"1995-03-01"
232500,606000,0.068990624713408,"1995-03-01"
232500,606500,0.0635586091715696,"1995-03-01"
232500,607000,0.063564303347371,"1995-03-01"
232500,607500,0.0634531917593645,"1995-03-01"
232500,608000,0.0593049590592326,"1995-03-01"
232500,608500,0.0492453621734405,"1995-03-01"
232500,609000,0.0415260004810464,"1995-03-01"
232500,609500,0.0401887021281434,"1995-03-01"
232500,610000,0.038171037085458,"1995-03-01"
232500,610500,0.0333773198722988,"1995-03-01"
232500,611000,0.0243160221519839,"1995-03-01"
232500,611500,0.0177852354281553,"1995-03-01"
232500,612000,0.0150674773014396,"1995-03-01"
232500,612500,0.0123005337807572,"1995-03-01"
232500,613000,0,"1995-03-01"
232500,613500,0,"1995-03-01"
232500,614000,0,"1995-03-01"
232500,614500,0,"1995-03-01"
232500,615000,0,"1995-03-01"
