"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"158",5980,"NL","ZL23","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"159",5983,"NL","ZL23","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"160",5986,"NL","ZL23","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"161",5989,"NL","ZL24","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2009-04-10T00:00:00",246514.427,568120.7746,"E","1995","2009"
"162",5992,"NL","ZL24","HHE",53.0921,6.7533,"2009-04-10T00:00:00","2014-08-14T00:00:00",246514.427,568120.7746,"E","2009","2014"
"163",5995,"NL","ZL24","HHE",53.0921,6.7533,"2014-08-14T00:00:00","2014-09-23T00:00:00",246514.427,568120.7746,"E","2014","2014"
"164",5998,"NL","ZL24","HHE",53.0921,6.7533,"2014-09-23T00:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2014","2599"
"165",6001,"NL","ZLV1","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"166",6004,"NL","ZLV1","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"167",6007,"NL","ZLV1","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"168",6010,"NL","ZLV2","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"169",6013,"NL","ZLV2","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"170",6016,"NL","ZLV2","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"171",6019,"NL","ZLV3","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"172",6022,"NL","ZLV3","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"173",6025,"NL","ZLV3","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"174",6028,"NL","ZLV4","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"175",6031,"NL","ZLV4","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
